hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,687.9340889092123,1194.145311295112,2021.9441190979223,0.0,2531.357352809867,1998.5633395959014,237.72442973863576,2519.0000730619445,1854.708969136351,273.60348812594316,2316.8909960207525,1457.6162362590392,0.0,776.7533140943398,2492.388863375628,3315.172036565291,640.8330694211136,2296.365719597444,1192.355589157791,1477.942237647983,1026.351737752635,2495.6885149068557,411.866605082721,1119.5290566382619,863.7974651528049,1236.563907693641,0.0,2582.761952883903,977.657474014144,1085.188362129003,1742.8791662398476,1800.375400789124,107.45274061055898,115.53724369071483,2193.992999722861,1974.2197781620443,1028.1264740961813,3172.183685558645,1243.6520936748636,151.33997544595422,309.5774494047937,219.35169810823152,0.0,1548.1862421987112,2567.851679980338,0.0,2609.993250647599,2316.715903230038,847.0382219477001,1677.3210260793053,1068.9403884939254,1869.848687733992,0.0,656.2919014252496,934.5847634741616,1059.9436987540703,1589.9282795346562,1046.554625159984,1897.6723779054796,0.0,3426.7567334700298,3538.416088984315,771.9624924252751,1159.9500095025708,617.060719499955,290.086480191659,1375.095656558996,0.0,960.4014420841302,319.78070440742704,957.6509227834383,1031.6076696320067,2409.8345858246303,439.089128455769,1798.480448298984,146.8483701453256,647.6745889226582,2120.420225292754,516.2972505582359,0.0,0.0,1512.896515300279,2399.3695482640333,0.0,711.7122617909642,2154.15940167084,126.63092921898351,916.0005696073475,2304.0742927088195,371.6464259566841,20.560911990282193,1407.49568058634,19.19756699436789,262.2790024997903,1758.6672124371014,1675.5228896801113,2143.402951844505,2050.586595069516,1161.566064076367,2551.919198765634
8,3348.327446715667,3898.5794857400197,4697.3691938065185,4304.83692411485,4162.553355707823,5329.257981435479,3351.715280418464,4579.393600637146,4293.269363553913,4828.229661863317,6548.564000016129,6673.470702773673,4365.653563319965,4096.361645745894,4487.425888483237,3428.6669759857687,5970.238750098067,6797.817812608237,4227.070696145128,6578.507810283027,5777.898540494782,2400.411131365361,6729.43947402957,4239.292167568825,2932.2120022651106,4729.194784713302,5730.251319360265,5838.716116218875,3056.963471907794,3555.561290505474,4585.9550582096435,4146.317192540027,4309.775415705894,2778.823187307352,4366.506202371734,1893.5844012624084,7344.242398146426,3369.638055467147,5048.269678062504,3388.151360435796,5561.228398606116,2413.4115637350587,6031.431771783076,5337.6289989984025,4117.011405035203,5813.745565033645,6506.602791795625,1634.94331592031,5601.095044148296,5345.686494170038,2954.763364877707,5539.560607116883,5448.0398909034775,5458.762574817686,3435.3809483936525,4726.844595861524,2548.366328617166,5721.148111830011,4114.074358167491,3543.129973440107,3784.726554019282,2658.67283010526,4071.7698565842397,3864.5727671819623,2910.3796746792373,5955.9785745433355,3671.0035092543776,4027.237533384799,4739.94780349739,3976.82259886221,2799.4022425853173,2439.4980333597364,4773.580469014333,4368.448681370719,7555.767636186687,3084.184221686155,3635.1223952191863,4646.740433543262,5814.730556017019,5054.939566676721,6674.5316256022,4124.170530148318,4610.831541154407,4211.2263857452435,4104.245463827856,4462.666181837445,4147.6670555237915,4032.4201617938743,2576.694006644411,4071.230145272955,69.254479055292,3178.5643605809446,2351.1512182211372,3029.755219155968,4177.617558416883,5223.459633567341,5202.9134477231555,4248.040651444024,4354.171850599542,3667.979984085604
9,7493.105189044238,8481.099005801256,6048.282554593243,5705.74629933492,5827.869744527425,11164.583153019237,4268.999036589311,7004.094222324856,6363.332901293297,11667.154344383282,8846.860820994367,6479.73683692876,10548.906946391948,6669.185475895011,8544.255612476518,6358.625562300942,4657.841859388194,5856.978472110903,4497.707019022357,8706.435072740724,6877.101829164945,7356.965350361332,7959.17098445741,8089.833947781235,9264.658568725794,7011.463381686756,7831.8585072781025,7231.13978355578,6841.017557518399,8098.954466702513,7471.519055832231,4924.189855257729,6845.284775516989,5414.089684562084,7041.427215448668,8808.698856943589,5286.110713330656,7338.831343526208,6517.745264344975,2947.1984549653534,5545.202269499771,7513.558624259907,5439.161270484864,8879.144347614574,7537.595205379484,6891.391176118061,3271.398967778402,5023.886783509639,4801.049320232063,7694.543360471433,9822.815636240339,6848.64059403526,3749.2509737882506,6181.762116062185,6196.304597575645,5749.950931159221,6684.192606026746,8095.7229501456895,7373.501512205824,5614.6305856437475,5618.299083142779,2973.2615398991084,7183.198799124633,9350.116222639383,7118.157728174703,10325.566225785595,7725.781867851115,4987.151204864474,7815.979946223524,8395.475994589468,8945.910266789044,11541.189704296408,7825.029526634738,8690.539757196626,6155.440545393711,9885.088918199464,7316.3098322714095,4558.0876770592295,7907.378205577188,6343.412147460674,6520.157609700662,2928.2729964914497,6369.1996119981395,8919.206802251816,8178.493054796877,5389.572869015404,8072.457581923468,6003.240088404211,3689.8183703882232,7981.167588935737,1399.0172166439297,9534.246234728378,8895.693931964035,6170.176568792991,8413.089583795727,6777.9703110754435,10010.205040685647,6604.814989087633,7524.355611244955,6513.084533743223
