hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1.2952904328700512,0.0,2.473244059787653,0.3385536534858564,0.0,20.55668209812263,0.0,14.085854835395672,0.0,0.0,6.508430715903126,10.180477788122772,0.0,2.1988758039609775,10.535469874691508,0.0,17.481976713718055,0.0,5.8128572569304815,16.383957093835413,10.136047518983121,0.0,7.1446972383929745,7.593455107329752,0.0,0.0,0.0,3.051682834244089,13.19815850923224,22.496829345637494,12.79447654349704,5.048042634109822,0.0,8.912947253326191,0.0,3.014286118164587,3.7622849125431,0.0,3.804939689712128,0.23384392336916138,14.006602379351317,0.0,12.85681189091856,14.476981198063555,0.0,0.0,0.0,6.214075150189087,14.728579120108005,5.564811716543694,0.0,0.0,13.903556617113463,0.0,7.135132419264135,1.984223898853,0.0,9.836377143423839,12.367291339343602,0.0,0.0,9.106435319154494,20.63793537660727,9.617988593514507,12.74537886829042,0.8914299571400166,0.0,0.0,0.0,9.937686854312565,2.6031756427265726,4.705811182108082,0.0,0.0,0.0,2.7790019861383164,16.569927192929015,12.021009402625605,8.638471304885563,9.603570883717227,3.370282821142804,0.0,0.0,0.1360741461812025,20.476071127570112,0.0,10.713841545221921,16.74211035695037,0.0,9.895851881246141,2.6688813308844965,10.120845119374502,10.94250686173179,0.0,19.488782318775463,0.0,0.0
8,0.0,3.6470656351241835,9.041606170003599,5.7775965973812955,41.048315483735955,11.518038094627135,13.084177808878296,17.645882215676938,18.400601431151276,0.0,0.0,16.87950332161038,0.0,0.0,13.003145424857466,0.9383134098512462,0.0,5.516303622702006,0.0,0.0,5.980226453603244,0.0,5.896015679921273,13.878266520721947,9.462626238681542,9.807284177638243,0.0,0.0,1.0167545409516887,0.0,0.0,0.0,8.843943017958747,6.0134592987950555,0.0,7.648524944508006,0.0,0.0,12.682806536929014,20.308352338408326,0.0,2.4173486674791045,0.0,23.813364765966128,5.00262037322709,22.147776909513272,7.633034892201511,0.0,0.0,1.9136607165019262,0.0,6.949028195900729,13.43575939822555,0.0,21.949116039410946,0.0,0.0,0.0,23.95300478486429,0.0,21.120589256004273,0.0,7.119618721565253,13.057041876605432,0.0,8.002479089066764,0.5011049818180062,16.310938926622626,9.020101940383427,0.0,0.0,0.0,27.36293988514052,0.0,0.0,0.0,3.5394452633667184,0.0,28.49852419589881,10.841106113791438,0.0,0.0,7.661422732261977,12.440685037839085,0.0,0.0,0.0,0.0,0.0,21.10557485627033,0.0,0.0,11.257118855554834,0.0,24.25472437848461,0.0,6.620851679691134,0.0,19.361408269893655,8.254376665098041
9,40.207084636862405,24.898533115495095,20.730857955621836,11.237947733864603,0.010923914265603685,24.331751342884132,33.11241070135462,28.66325516014774,20.120564925202487,0.29501315944745343,9.164528074294186,13.757657005245328,53.57253840974763,2.641183225590961,34.65199877523954,0.0,30.518519985034466,0.0,23.985153631525247,13.578718765805624,12.964099371900916,37.96947062709499,21.268836711142896,12.5053934265849,47.31283395517816,16.198321073148175,27.993908240928874,20.303285829860513,31.656302273140682,8.593930701076442,6.410886352334984,40.607053287758504,28.914325838445073,3.5376235302355177,42.161914245948196,13.477874404253555,29.812751992599942,33.11463096838664,10.59586472981798,54.31352137439222,34.0817950008881,26.374294902639335,26.977502873446042,29.97031618236724,26.898149352428753,23.991052002868585,42.1938945750518,25.56484806754432,1.9954562798856976,12.263298477691036,34.79700664686451,1.607903715102804,31.024563425577227,4.580207228680429,12.075295457982673,34.048231826743276,11.582733674660341,42.2032928765624,25.17429887277567,32.77087478966173,0.0,17.17711488251316,48.59827169966509,0.0,18.445805071654984,0.0,0.0,35.068079974448565,6.724339750535103,6.681651089046653,47.516769092998445,0.0,66.04927071369508,15.191721788105111,14.015717778063497,32.409291189761596,42.62320922934211,8.056971037742045,8.966842542426495,36.63520954361475,0.0,0.0,35.44918114370047,34.12006097116297,18.623512099228453,23.779502404894302,0.0,34.49991912693236,31.256913712049972,13.63908775199122,13.338889666286473,10.750865388310503,11.447649447259993,12.681456783425084,31.228952428611237,44.59627355651731,62.49479471141951,11.789944196585752,28.80084553789783,0.0
