hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.058657533545248566,0.36261229632086,0.0,0.3290586725952329,0.14136655619657473,0.0,0.542780447210273,0.0,0.5948602352018824,0.0,0.0,0.0,0.0,0.3103014416438042,0.1701083554678368,0.0,0.27168592808650815,0.0,0.0,0.3905196634898212,0.05432678891023302,0.0,0.38135263993312274,0.0,0.3191523903510976,0.1818191692347525,0.4050510468581297,0.0,0.09948309871155823,0.0,0.0,0.00845871182328,0.0,0.17603321092352153,1.0726781415878064,0.0,0.0,0.0,0.03777284495172189,0.6194294506603802,0.3727983328335064,0.0,0.049358233114292174,0.6553979142879355,0.08855033118978387,0.002115555173897818,0.0,0.6960080044172128,0.35831345743775744,0.0692254179631139,0.048232258842569625,0.28544015033149367,0.2040733562741635,0.0,0.0,0.13261667616844686,0.0,0.4295980941296285,0.0,0.0,0.0,0.0,0.4280528540908264,0.316976715872841,0.0529028589793034,0.10958935964481802,0.39070212785442077,0.40246699263936214,0.34076877948862433,0.0,0.536818842068929,0.0,0.0,0.0,0.0,0.08328686433583557,0.18275631789907687,0.7097013510668131,0.0,0.0,0.32943982390073934,0.04053907402271406,0.37776169081929034,0.4897421635867663,0.0,0.0,0.0,0.1648407838990468,0.0,0.0,0.20964710294843963,0.08743460032201726,0.0,0.21483804308161586,0.06504459343763884,0.0,0.0,0.47146942209155673,0.0,0.06842284162397239
8,0.12234177274425809,0.0,0.07966932608624729,0.0,0.0,0.6044250233801377,0.0,0.0,0.3039698175740758,0.07155012288073678,0.0,0.6106270323769254,0.1765530342700047,0.0,0.737885882614961,0.0,0.4103685182746283,0.4279454963909032,0.4668004400467627,0.8525658505280094,0.5479824571499596,0.13952682773272862,0.42635841184502277,0.3565729603179886,0.6051447774639712,0.31401573247795517,0.5649501053930073,0.0,0.0,0.0,0.0,0.1595826052693512,0.6420480352432509,0.0,0.0,0.48257204288848854,0.35488989785715563,0.4959376884305161,0.0,0.24454312607090273,0.8383678536499554,0.0,0.0,0.14027598258088145,0.0,0.2254944305651845,0.42597894797896674,0.13322550491488738,0.0,0.0,0.3249223174555437,0.12292655601431011,0.41541509243897534,0.47737880381026465,0.5041977961898892,0.17416428288178762,0.503191704250956,0.0,0.0,0.15730848324734742,0.0,0.23710175598765112,0.2884105550830614,0.6614128519251402,0.26241001629192834,0.19827350874798916,0.3183792349036809,0.5718931647290549,0.4453736229535913,0.5783389120925826,0.23064936790722224,0.4766991828137722,0.024719826364003772,0.1672521260080301,0.22954742440596942,0.478682769010058,0.3199237216831979,0.3747830222570422,0.23589415637932085,0.5113001598335992,0.0,0.0,0.30231128176251765,0.04349085575921176,0.0,0.0,0.0,0.0,0.606444554044799,0.0,0.08737793245573561,0.37192818547750395,0.15642626073509003,0.0,0.6824577367007699,0.03803339376270046,0.5447991091962946,0.0,0.6218715211845997,0.4683467340298949
9,0.5066131476594034,0.2762181014231452,0.451611635041024,0.6518676400135024,0.5014341293463986,0.8654878543437514,0.6446381104579089,0.12003049236621258,0.6483451347988982,0.4375308729599948,0.41865029573162715,0.0,0.3387996114868503,0.20013063075122625,0.2837911566927454,0.24072891089082907,0.010681806993600829,0.0,0.8977999177592519,0.7261624579232244,0.0036890554746317195,0.5264421435635881,0.07538391387128934,0.20337074366932423,0.3389585144119801,0.0,1.02937506498262,0.7139988566210027,0.0,0.0,0.0,0.6711227458425367,0.07115388092332695,0.328411519387283,0.5988773251432764,0.004159611180831468,0.7732574392281615,0.2647035943908742,0.1392757702926847,0.0,0.48168618419504705,0.29700495284388534,0.24090890848247742,0.6843473539529416,0.27234223411229314,0.5848313575684931,0.17007914635331212,0.32716735903407107,0.33020008311723964,0.0,0.4458634169299218,0.0,0.9708296173603728,0.0,1.3736290777449518,0.4622381782363897,0.16603836409480366,0.3620064528167536,0.7166142888804402,0.2506601719987688,0.10014104336947027,0.5572701723227032,0.6652178738120734,0.39494178287848786,0.9839611291985366,0.9227786287757118,0.4378967448006388,0.20605636918476306,0.10496605914642007,0.03817799622450896,0.7993939092927067,0.4276686906791384,0.46509654768814124,0.9015473018886901,0.07208286626389104,0.4967457944550694,0.18902202116663203,0.28982274016946935,0.6734770060307314,0.14468751222657156,1.1686060027193887,0.42241932014324124,0.17757552390589232,0.6372017999820389,0.48534306370870955,0.0,0.9780370459166907,0.4850697579554738,0.3054364982552869,0.0,0.0,0.0,0.5187660247934681,0.5346488766470616,0.7062706948262802,0.4118707053007806,0.5803249893608597,0.11792908279121739,0.0,0.0358875910909075
